#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:denisovan" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:denisovan" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:denisovan">
#                <taxonset id="TaxonSet.denisovan" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:denisovan" name="distribution" x="@birthRate.t:denisovan">
#            <Uniform id="Uniform.1" name="distr" upper="100.0"/>
#        </prior>
#        <prior id="ClockPrior.c:denisovan" name="distribution">
#            <parameter id="clockRate.c:denisovan" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" lower="1.0E-6" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:denisovan" name="distribution">
#            <parameter id="gammaShape.s:denisovan" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:denisovan" name="distribution">
#            <parameter id="kappa.s:denisovan" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <distribution id="Hominini.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:denisovan">
#            <taxonset id="Hominini" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="CommonChimpanzee_NC001643" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Denisovan_FN673705" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="ModernHuman_HM171295" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Neanderthal_FM865409" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="PygmyChimpanzee_NC001644" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="mean">6.5</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="sigma">0.2551</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@denisovan" id="treeLikelihood.denisovan" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:denisovan">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:denisovan" shape="@gammaShape.s:denisovan" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:denisovan" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:denisovan" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:denisovan" kappa="@kappa.s:denisovan" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:denisovan" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:denisovan" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:denisovan" id="StrictClock.c:denisovan" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.denisovan	TreeHeight	YuleModel	birthRate	kappa	gammaShape	monophyletic(Hominini)	logP(mrca(Hominini))	mrca.age(Hominini)	clockRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
13000	-32559.14668843526	-32531.19332310574	-27.953365329518167	-32531.19332310574	13.165752195572441	-18.30175476165223	0.14230927289502615	15.6763146588175	0.5768724446652922	1	0.4070746477173856	6.572231125037707	0.01000055395170466	0.27875130833356226	0.26330725323316906	0.21200926436281076	0.24593217407045795
14000	-32538.437679525025	-32510.075650277297	-28.362029247729193	-32510.075650277297	13.161811362984059	-18.452270784876358	0.17930380983119848	15.6763146588175	0.5768724446652922	1	0.1489267527304895	6.302982728128965	0.010009590321002732	0.26945290571417024	0.272605655852561	0.21200926436281076	0.24593217407045795
15000	-32539.764394733596	-32510.509231033277	-29.25516370032106	-32510.509231033277	13.524797432035415	-19.627612554112602	0.23183429149004905	15.6763146588175	0.5768724446652922	1	0.43113406937486787	6.545672235498821	0.009754023770480501	0.26945290571417024	0.272605655852561	0.21200926436281076	0.24593217407045795
16000	-32536.711580202442	-32508.550922962022	-28.16065724042104	-32508.550922962022	14.153398972361108	-18.511784880370303	0.12716089188864413	15.6763146588175	0.5768724446652922	1	0.4098128555325899	6.569720528869797	0.009309132087789822	0.26945290571417024	0.2752924198576862	0.21200926436281076	0.24324541006533273
17000	-32535.567646240255	-32506.97216290052	-28.595483339732848	-32506.97216290052	14.171604521640726	-18.903514694652102	0.0877267010631024	15.6763146588175	0.5768724446652922	1	0.36671657050257733	6.60232311907402	0.009311019122823484	0.26945290571417024	0.2752924198576862	0.21200926436281076	0.24324541006533273
18000	-32539.26369683472	-32509.017710377182	-30.245986457540518	-32509.017710377182	14.007273971943702	-20.33127922556555	0.24407711723075062	15.6763146588175	0.5768724446652922	1	0.1439779836083539	6.698645155272573	0.009797081400601454	0.2720304202942321	0.2752924198576862	0.21200926436281076	0.24066789548527093
19000	-32545.081122377804	-32516.391257920004	-28.68986445780077	-32516.391257920004	13.57979491657153	-18.610648154713893	0.1653686409622971	15.6763146588175	0.5768724446652922	1	-0.020531087503554202	6.253279336846702	0.009445454059704058	0.27766139269820117	0.2752924198576862	0.21200926436281076	0.2350369230813018
20000	-32512.33191998442	-32484.551923693114	-27.77999629130668	-32484.551923693114	13.230192410422017	-18.243078567793567	0.14164396248847608	15.6763146588175	0.49903078199331696	1	0.44392582939823555	6.520520226340448	0.010370054188620631	0.27766139269820117	0.2752924198576862	0.21200926436281076	0.2350369230813018
21000	-32477.01733900237	-32448.567585159268	-28.44975384310291	-32448.567585159268	13.273240101755473	-18.941836854160403	0.07702713707505011	15.6763146588175	0.4724727181920427	1	0.44636850016757035	6.510156827961492	0.010108179395827572	0.28132895850092066	0.2752924198576862	0.20834169856009127	0.2350369230813018
22000	-32409.938226520026	-32380.90984658695	-29.028379933074277	-32380.90984658695	15.500727097649813	-19.530847281012218	0.1820214875232058	15.6763146588175	0.42147481245664975	1	0.4057549313126266	6.573410484129444	0.009508046117882803	0.27373421650726903	0.27803541954025834	0.20181973680102336	0.24641062715144915
23000	-32408.896075962286	-32380.55783219879	-28.338243763497577	-32380.55783219879	14.0665016626075	-18.440419641031628	0.12091460946513788	15.6763146588175	0.42147481245664975	1	0.005463460908734286	6.26023377501834	0.010021131838609018	0.27373421650726903	0.27803541954025834	0.20181973680102336	0.24641062715144915
24000	-32405.619372377834	-32377.33498217876	-28.284390199072945	-32377.33498217876	13.415644911154237	-18.81270627982708	0.08184999613627963	15.6763146588175	0.42147481245664975	1	0.43160366412881807	6.544998159847395	0.010329295943363393	0.27373421650726903	0.27803541954025834	0.20181973680102336	0.24641062715144915
25000	-32353.207173062692	-32324.41995647836	-28.787216584332935	-32324.41995647836	15.86273534211139	-19.53276767385858	0.18120031037778836	15.6763146588175	0.21976089288032472	1	0.4471247533240024	6.502175609868135	0.010681552193276253	0.27373421650726903	0.27803541954025834	0.20181973680102336	0.24641062715144915
26000	-32351.68299008362	-32323.636920405545	-28.046069678075966	-32323.636920405545	15.239583919283769	-18.686697684120407	0.10534915953362098	15.6763146588175	0.21976089288032472	1	0.34220166984279843	6.383121068887478	0.011361891859937136	0.27603292178171046	0.27803541954025834	0.20181973680102336	0.2441119218770077
27000	-32331.23913441768	-32303.171251218344	-28.067883199335135	-32303.171251218344	15.586801677218938	-18.812903095229863	0.11173885604555511	15.6763146588175	0.21976089288032472	1	0.4465935596930836	6.491405280552947	0.010582670481066965	0.27218495048503083	0.2837422474492323	0.19985020466555972	0.24422259740017702
28000	-32324.328119907386	-32294.765448579004	-29.562671328380382	-32294.765448579004	15.067027146939378	-18.589306701618415	0.13637933482979456	21.945604387684895	0.21976089288032472	1	-0.5219099053592975	6.144856998441557	0.011688405854763328	0.27218495048503083	0.2837422474492323	0.19985020466555972	0.24422259740017702
29000	-32325.547427224625	-32293.9714315737	-31.575995650922856	-32293.9714315737	14.564614524914115	-18.75066233930807	0.08672477898623726	21.945604387684895	0.21976089288032472	1	-2.3738785902121164	5.894059394935215	0.012017161250532581	0.27218495048503083	0.2837422474492323	0.19985020466555972	0.24422259740017702
30000	-32321.26418110944	-32292.271217939986	-28.99296316945322	-32292.271217939986	16.17521927390802	-18.967603311196868	0.13271044215226727	21.945604387684895	0.21976089288032472	1	0.42609486314631684	6.447637647443012	0.011140570031541612	0.27218495048503083	0.2837422474492323	0.19985020466555972	0.24422259740017702
31000	-32321.484104711435	-32291.816934267863	-29.667170443572743	-32291.816934267863	16.47897622572348	-19.662155604815087	0.17643739191716676	21.945604387684895	0.21976089288032472	1	0.44643988264501405	6.5096886831203955	0.011402316968359664	0.27218495048503083	0.2837422474492323	0.19985020466555972	0.24422259740017702
32000	-32299.522648586157	-32268.162239021458	-31.360409564699925	-32268.162239021458	14.985826409411201	-20.182941178705775	0.24731733698947714	21.945604387684895	0.21976089288032472	1	-0.7260136645914793	6.109242955137591	0.012096825249735682	0.27218495048503083	0.2837422474492323	0.1957511619532513	0.24832164011248545
33000	-32220.69409385381	-32190.439475311072	-30.254618542737433	-32190.439475311072	17.242978913525388	-19.308890545987776	0.0999591542380209	21.945604387684895	0.18502890155410365	1	-0.5290052666732058	6.8564407765163455	0.01051558669784333	0.2740363966641838	0.2923561318391665	0.1852858313841642	0.24832164011248545
34000	-32219.81909191914	-32189.457192258244	-30.36189966089786	-32189.457192258244	17.512541529490694	-20.205795451978872	0.1860388748392249	21.945604387684895	0.18502890155410365	1	0.26061852115746376	6.655816867306984	0.011090633189333812	0.2740363966641838	0.2923561318391665	0.1852858313841642	0.24832164011248545
35000	-32217.09421522515	-32187.52619528695	-29.56801993819565	-32187.52619528695	18.61950414626143	-19.53312599015114	0.10443646907934385	21.945604387684895	0.18502890155410365	1	0.3818287820319413	6.592212449483907	0.01082690232448584	0.2740363966641838	0.2923561318391665	0.1852858313841642	0.24832164011248545
36000	-32157.666748971224	-32127.974736420296	-29.69201255092664	-32127.974736420296	18.213821094305995	-19.334447980769117	0.09621474224063312	23.372607051442067	0.18502890155410365	1	0.20763410733362828	6.323435777618878	0.01179279433283915	0.2825682146149203	0.3010643226698813	0.17675401343342764	0.2396134492817706
37000	-32148.00239293842	-32117.547446101267	-30.454946837152704	-32117.547446101267	16.915450133399997	-18.964723635460263	0.10914566516568788	23.372607051442067	0.18502890155410365	1	-0.9250245242012859	6.077397665068264	0.012390106805769104	0.28460486151545666	0.3010643226698813	0.17471736653289127	0.2396134492817706
38000	-32148.037309399853	-32117.268240837937	-30.769068561916065	-32117.268240837937	19.633048261604422	-19.9164486936775	0.0823044455521078	22.377273051392084	0.18502890155410365	0	-0.39025951330962927	6.83013934496949	0.011161646451138353	0.28460486151545666	0.3010643226698813	0.17471736653289127	0.2396134492817706
39000	-32145.76383365047	-32116.406741541297	-29.357092109172918	-32116.406741541297	17.53649532595924	-19.28289349999352	0.09967834893293345	22.377273051392084	0.18502890155410365	1	0.3881617457495367	6.412370736512337	0.011432892716564579	0.28460486151545666	0.3010643226698813	0.17471736653289127	0.2396134492817706
40000	-32108.93675948818	-32076.94686228574	-31.989897202442926	-32076.94686228574	17.8715593111605	-21.21356814967324	0.042916389565285214	22.377273051392084	0.18502890155410365	1	-0.3139686978407491	6.185257909779829	0.011351481014214805	0.2842637729142124	0.3010643226698813	0.16575096681067078	0.2489209376052354
41000	-32105.022971785922	-32074.701704660158	-30.32126712576409	-32074.701704660158	16.74440753279609	-18.92969334758689	0.11755753748000371	22.377273051392084	0.19589382023496826	1	-0.9183485045674006	6.078426950518839	0.012441723052441456	0.2785655334163832	0.30676256216771053	0.16575096681067078	0.2489209376052354
