#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:denisovan" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:denisovan" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:denisovan">
#                <taxonset id="TaxonSet.denisovan" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:denisovan" name="distribution" x="@birthRate.t:denisovan">
#            <Uniform id="Uniform.1" name="distr" upper="100.0"/>
#        </prior>
#        <prior id="GammaShapePrior.s:denisovan" name="distribution">
#            <parameter id="gammaShape.s:denisovan" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:denisovan" name="distribution">
#            <parameter id="kappa.s:denisovan" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="MeanRatePrior.c:denisovan" name="distribution">
#            <parameter id="ucldMean.c:denisovan" name="x">1.0</parameter>
#            <Uniform id="Uniform.3" lower="1.0E-6" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:denisovan" name="distribution">
#            <parameter id="ucldStdev.c:denisovan" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="Hominini.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:denisovan">
#            <taxonset id="Hominini" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="CommonChimpanzee_NC001643" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Denisovan_FN673705" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="ModernHuman_HM171295" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Neanderthal_FM865409" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="PygmyChimpanzee_NC001644" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="mean">6.5</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="sigma">0.2551</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@denisovan" id="treeLikelihood.denisovan" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:denisovan">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:denisovan" shape="@gammaShape.s:denisovan" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:denisovan" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:denisovan" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:denisovan" kappa="@kappa.s:denisovan" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:denisovan" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:denisovan" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:denisovan" id="RelaxedClock.c:denisovan" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:denisovan">
#                <LogNormal S="@ucldStdev.c:denisovan" id="LogNormalDistributionModel.c:denisovan" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.5" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="12" id="rateCategories.c:denisovan" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.denisovan	TreeHeight	YuleModel	birthRate	kappa	gammaShape	monophyletic(Hominini)	logP(mrca(Hominini))	mrca.age(Hominini)	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
13000	-32709.02700451373	-32672.461820942295	-36.56518357143364	-32672.461820942295	46.43712373527881	-23.574498030968723	0.0455086786548961	16.250796132632985	0.5810401914095893	0	0.4108810898610828	6.568716222904039	0.01963710715044823	1.2189809613603388	0.004213906503252396	5.688523064777972E-5	0.7300131970526083	0.2595325095228472	0.2704052849021554	0.23233812472450155	0.23772408085049604
14000	-32657.087243219994	-32619.57846972571	-37.50877349428446	-32619.57846972571	40.651692498731634	-22.819229276120865	0.05128896284570909	16.250796132632985	0.5810401914095893	0	-1.475975093711536	5.999700026952165	0.020459368649624214	1.1564446160874904	0.004889640241521801	6.22865337874696E-5	0.6982996817997174	0.26572092343114817	0.2704052849021554	0.22614971081620056	0.23772408085049604
15000	-32659.849199653938	-32623.64789023263	-36.20130942130573	-32623.64789023263	45.27054730537158	-23.399931498608126	0.0617420682317279	13.72121121985157	0.5810401914095893	0	0.032501964094716174	6.732311701888915	0.01728009592357463	1.1478239030913908	0.0043275256746888174	3.6528802469698764E-5	0.6300080350521413	0.26572092343114817	0.2704052849021554	0.22614971081620056	0.23772408085049604
16000	-32631.14354794974	-32595.318175709966	-35.825372239775184	-32595.318175709966	41.48606753740448	-23.06186267571779	0.04601606478150593	16.015641088403378	0.5810401914095893	0	0.39285230122811676	6.415926207716488	0.019086082292217747	1.1478239030913908	0.004728561788913287	3.9895430636820125E-5	0.6169614033890463	0.26910439268904324	0.2704052849021554	0.2227662415583055	0.23772408085049604
17000	-32621.008202459772	-32583.01953215718	-37.98867030259088	-32583.01953215718	40.70497615238152	-25.334582075443567	0.13612810212957008	16.015641088403378	0.5646391577307465	0	0.4457460952569914	6.486429133756126	0.01958896372508126	1.1345454718218282	0.004909867160760486	4.024138726533845E-5	0.6481995080510871	0.26910439268904324	0.27536849757378395	0.2227662415583055	0.23276086817886746
18000	-32624.88626404257	-32586.364666465317	-38.5215975772525	-32586.364666465317	43.326817193169184	-26.04137759611426	0.13406632695100962	15.253282084618752	0.5646391577307465	0	0.36529818388765584	6.603221250622675	0.016715884426869533	1.0847847429195137	0.004625567166669268	3.033825176886142E-5	0.6050084128957669	0.26910439268904324	0.27536849757378395	0.2227662415583055	0.23276086817886746
19000	-32540.877879579308	-32503.24333465862	-37.63454492069062	-32503.24333465862	40.44890641580506	-25.09690483271914	0.13389348875604745	15.253282084618752	0.5646391577307465	0	0.3642202697253476	6.396101399019428	0.018050734995353836	1.1033225244224132	0.0046756484461220925	3.761976140611607E-5	0.6606790923350984	0.26910439268904324	0.28516023126272433	0.21297450786936512	0.23276086817886746
20000	-32531.407508257926	-32496.3870146471	-35.02049361082395	-32496.3870146471	33.44352190833256	-21.780467161891664	0.06891776530939393	15.253282084618752	0.5646391577307465	0	-0.3381660912354464	6.180294005396807	0.01938621042193306	1.1033225244224132	0.005507654165891934	4.0554666216626827E-5	0.6481168391589615	0.26910439268904324	0.28516023126272433	0.21297450786936512	0.23276086817886746
21000	-32533.550488425888	-32496.5557295797	-36.99475884618756	-32496.5557295797	39.439465134269525	-23.758550708307347	0.10664118931894043	15.253282084618752	0.5646391577307465	0	-0.3343477801833793	6.818927832101248	0.018352408202375062	1.1033225244224132	0.004835005518865103	3.7809737706422476E-5	0.6814264522951939	0.26910439268904324	0.28516023126272433	0.21297450786936512	0.23276086817886746
22000	-32538.65413508462	-32503.629345926172	-35.024789158448414	-32503.629345926172	38.55852514867646	-22.565417408883015	0.05835556916327096	15.253282084618752	0.5646391577307465	0	0.4424886081314339	6.475339567316764	0.019146686502612153	1.1033225244224132	0.005028311743183044	4.206847110964482E-5	0.7123285065721623	0.26910439268904324	0.28516023126272433	0.21297450786936512	0.23276086817886746
23000	-32535.752430975986	-32500.703914655318	-35.048516320668476	-32500.703914655318	35.82477030232468	-22.27604426544272	0.0547101690555794	15.253282084618752	0.5646391577307465	0	0.1293883024710762	6.296631432653821	0.019317538348892212	1.1033225244224132	0.005361606194003805	4.04503810443024E-5	0.6618502970864177	0.26910439268904324	0.28516023126272433	0.21297450786936512	0.23276086817886746
24000	-32537.180001384142	-32502.03687067045	-35.14313071369069	-32502.03687067045	37.0702943723563	-22.466912153052917	0.0598058335314905	15.253282084618752	0.5646391577307465	0	0.16642982208288143	6.691148490925488	0.016764358726542406	1.0838416932435997	0.00484071610196403	2.9742258052899833E-5	0.6334251998784941	0.26910439268904324	0.28516023126272433	0.21297450786936512	0.23276086817886746
